digits,strategy,n_revealed,method,p@5,p@10,mrr,prior
2,core_first,20,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,core_first,20,raw_correlation,0.2733333333333334,0.2288888888888889,0.5114637108305495,0.04171467764060356
2,core_first,20,raw_distance,0.42666666666666664,0.3677777777777778,0.6250506062470524,0.04171467764060356
2,core_first,40,mf_impute,0.47333333333333333,0.4144444444444444,0.5869110227288402,0.04171467764060356
2,core_first,40,mf_latent,0.5133333333333334,0.45222222222222225,0.6765113491858809,0.04171467764060356
2,core_first,40,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,core_first,40,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,core_first,40,raw_correlation,0.5044444444444445,0.43222222222222223,0.758767654617577,0.04171467764060356
2,core_first,40,raw_distance,0.5066666666666667,0.4188888888888889,0.7387863463778422,0.04171467764060356
2,core_first,80,mf_impute,0.5533333333333333,0.48666666666666664,0.7246779893638119,0.04171467764060356
2,core_first,80,mf_latent,0.5711111111111111,0.5022222222222222,0.8083082398966592,0.04171467764060356
2,core_first,80,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,core_first,80,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,core_first,80,raw_correlation,0.5844444444444444,0.48666666666666664,0.8385749322952327,0.04171467764060356
2,core_first,80,raw_distance,0.6088888888888889,0.4933333333333333,0.835245493130656,0.04171467764060356
2,core_first,181,mf_impute,0.6222222222222222,0.53,0.8076410801133024,0.04171467764060356
2,core_first,181,mf_latent,0.68,0.5677777777777778,0.8958625730994153,0.04171467764060356
2,core_first,181,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,core_first,181,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,core_first,181,raw_correlation,0.6511111111111111,0.5477777777777777,0.8685548293391432,0.04171467764060356
2,core_first,181,raw_distance,0.66,0.5833333333333334,0.8652526228915118,0.04171467764060356
2,uniform,5,mf_impute,0.18,0.18333333333333332,0.2649191617651783,0.04171467764060356
2,uniform,5,mf_latent,0.19555555555555557,0.1811111111111111,0.3244214316601778,0.04171467764060356
2,uniform,5,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,uniform,5,random,0.037777777777777785,0.04888888888888889,0.12183886902126982,0.04171467764060356
2,uniform,5,raw_correlation,0.19555555555555557,0.18888888888888888,0.36512820056003836,0.04171467764060356
2,uniform,5,raw_distance,0.28222222222222226,0.2677777777777778,0.4644155796615544,0.04171467764060356
2,uniform,10,mf_impute,0.2911111111111111,0.26222222222222225,0.3823583621128792,0.04171467764060356
2,uniform,10,mf_latent,0.32,0.29888888888888887,0.4611465801794785,0.04171467764060356
2,uniform,10,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,uniform,10,random,0.044444444444444446,0.04888888888888889,0.12550439777248062,0.04171467764060356
2,uniform,10,raw_correlation,0.3644444444444444,0.3266666666666667,0.5734720759967393,0.04171467764060356
2,uniform,10,raw_distance,0.4577777777777778,0.39555555555555555,0.6414876919301671,0.04171467764060356
2,uniform,20,mf_impute,0.42888888888888893,0.3933333333333333,0.571892800374167,0.04171467764060356
2,uniform,20,mf_latent,0.43777777777777777,0.41555555555555557,0.603932211380318,0.04171467764060356
2,uniform,20,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,uniform,20,random,0.044444444444444446,0.045555555555555564,0.13514148009295185,0.04171467764060356
2,uniform,20,raw_correlation,0.4355555555555556,0.37555555555555553,0.6800845956302612,0.04171467764060356
2,uniform,20,raw_distance,0.5333333333333333,0.4422222222222222,0.7669558031582885,0.04171467764060356
2,uniform,40,mf_impute,0.4866666666666667,0.43666666666666665,0.6865008832162199,0.04171467764060356
2,uniform,40,mf_latent,0.5444444444444444,0.4788888888888889,0.7347788269165081,0.04171467764060356
2,uniform,40,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,uniform,40,random,0.04888888888888889,0.04,0.15650588989307168,0.04171467764060356
2,uniform,40,raw_correlation,0.5155555555555555,0.4488888888888889,0.771858248699334,0.04171467764060356
2,uniform,40,raw_distance,0.5688888888888889,0.51,0.8133172788874543,0.04171467764060356
2,uniform,80,mf_impute,0.5733333333333334,0.5055555555555555,0.7339881979467124,0.04171467764060356
2,uniform,80,mf_latent,0.6333333333333333,0.54,0.8560721247563353,0.04171467764060356
2,uniform,80,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,uniform,80,random,0.04666666666666667,0.04111111111111111,0.13950068445363442,0.04171467764060356
2,uniform,80,raw_correlation,0.6377777777777778,0.5311111111111111,0.8331702513499465,0.04171467764060356
2,uniform,80,raw_distance,0.6511111111111111,0.5644444444444445,0.8635593643256182,0.04171467764060356
2,uniform,181,mf_impute,0.6222222222222222,0.53,0.8076410801133024,0.04171467764060356
2,uniform,181,mf_latent,0.68,0.5677777777777778,0.8958625730994153,0.04171467764060356
2,uniform,181,popular_group,0.1111111111111111,0.1111111111111111,0.11522120641202166,0.04171467764060356
2,uniform,181,random,0.035555555555555556,0.04888888888888889,0.12143535861112874,0.04171467764060356
2,uniform,181,raw_correlation,0.6511111111111111,0.5477777777777777,0.8685548293391432,0.04171467764060356
2,uniform,181,raw_distance,0.66,0.5833333333333334,0.8652526228915118,0.04171467764060356
